timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_134233,ec39dfa29337,spark-worker-5,191.14%,1.483GiB / 10GiB,14.83%,5.4GB / 5.21GB,0B / 0B,81
20250618_134233,82e8dc373feb,spark-master,0.40%,758.9MiB / 4GiB,18.53%,47.3MB / 76.6MB,0B / 0B,128
20250618_134240,8896faf2c28a,spark-worker-3,194.89%,1.781GiB / 10GiB,17.81%,5.08GB / 5.42GB,0B / 0B,80
20250618_134240,bd3eccc510a1,spark-worker-2,196.60%,1.459GiB / 10GiB,14.59%,5.36GB / 5.17GB,0B / 0B,80
20250618_134240,72ea5f833e39,spark-worker-1,196.90%,1.797GiB / 10GiB,17.97%,5.3GB / 5.41GB,0B / 0B,80
20250618_134240,d9db3658c991,spark-worker-4,147.81%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,80
20250618_134240,ec39dfa29337,spark-worker-5,147.97%,1.486GiB / 10GiB,14.86%,5.4GB / 5.21GB,0B / 0B,81
20250618_134240,82e8dc373feb,spark-master,1.40%,758.9MiB / 4GiB,18.53%,47.3MB / 76.6MB,0B / 0B,128
20250618_134248,8896faf2c28a,spark-worker-3,199.24%,1.774GiB / 10GiB,17.74%,5.08GB / 5.42GB,0B / 0B,80
20250618_134248,bd3eccc510a1,spark-worker-2,195.40%,1.452GiB / 10GiB,14.52%,5.36GB / 5.17GB,0B / 0B,80
20250618_134248,72ea5f833e39,spark-worker-1,99.34%,1.797GiB / 10GiB,17.97%,5.3GB / 5.41GB,0B / 0B,80
20250618_134248,d9db3658c991,spark-worker-4,96.02%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,80
20250618_134248,ec39dfa29337,spark-worker-5,189.51%,1.672GiB / 10GiB,16.72%,5.4GB / 5.21GB,0B / 0B,81
20250618_134248,82e8dc373feb,spark-master,0.83%,759.1MiB / 4GiB,18.53%,47.3MB / 76.6MB,0B / 0B,128
20250618_134256,8896faf2c28a,spark-worker-3,17.55%,1.776GiB / 10GiB,17.76%,5.08GB / 5.42GB,0B / 0B,80
20250618_134256,bd3eccc510a1,spark-worker-2,29.03%,1.454GiB / 10GiB,14.54%,5.36GB / 5.17GB,0B / 0B,80
